,PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,IMPUTED
10246,198702078,1,B0701,BANK OF GREECE,,GREECE,GRC,K64,,,0
10247,198702079,1,B0701,BANK OF GREECE,,GREECE,GRC,K64,,,0
10248,198702080,1,B0701,BANK OF GREECE,,GREECE,GRC,K64,,,0
10249,198702081,1,B0390,ASIAN OCEANIC LTD,,HONG KONG,HKG,K64,,,0
10250,198702082,1,B2905,INDIAN BANK,,INDIA,IND,K64,,,0
10251,198702083,1,B3599,MARUTI UDYOG LTD,,INDIA,IND,C29,,,0
10252,198702084,1,B4679,REPUBLIC OF INDONESIA,,INDONESIA,IDN,K64,,,0
10253,198702085,1,B2484,REPUBLIC OF IRELAND,,IRELAND,IRL,O84,,,0
10254,198702086,1,B5757,UNITED MIZRAHI BANK,,ISRAEL,ISR,K64,,,0
10255,198702087,1,B0523,BANCA NAZIONALE DELL'AGRICOLTURA SPA,,ITALY,ITA,K64,,,0
10256,198702088,1,B0522,BANCA NAZIONALE DEL LAVORO,,ITALY,ITA,K64,,,0
10257,198702089,1,B0587,BANCO DI ROMA,,ITALY,ITA,K64,,,0
10258,198702090,1,B1647,CREDITO ITALIANO INTERNATIONAL LTD,,ITALY,ITA,K64,,,0
10259,198702091,1,B2026,ENTE NAZIONALE PER L'ENERGIA ELETTRICA,,ITALY,ITA,D35,,,0
10260,198702092,1,B2181,FIAT FINANCE & TRADE LTD,,ITALY,ITA,K64,,,0
10261,198702093,1,B2216,FINSIDER SPA,,ITALY,ITA,N82,,,0
10262,198702094,1,B3039,INTERNAZIONALE HOLDING SNIA SA,,ITALY,ITA,K64,,,0
10263,198702095,1,B3079,ISTITUTO BANCARIO SAN PAOLO DI TORINO,,ITALY,ITA,K64,,,0
10264,198702096,1,B3091,ISTUTUTO MOBILIARE ITALIANO,,ITALY,ITA,K64,,,0
10265,198702097,1,B3096,ISTITUO PER LO SVILUPPO ECONOMICO DELL'ITALIA MERIDIONALE,,ITALY,ITA,K64,,,0
10266,198702098,1,B3096,ISTITUO PER LO SVILUPPO ECONOMICO DELL'ITALIA MERIDIONALE,,ITALY,ITA,K64,,,0
10267,198702099,1,B3096,ISTITUO PER LO SVILUPPO ECONOMICO DELL'ITALIA MERIDIONALE,,ITALY,ITA,K64,,,0
10268,198702100,1,B1022,CAISSE AUTONOME D'AMORTISSEMENT,,IVORY COAST,CIV,K64,,,0
10269,198702101,1,B0712,BANK OF TOKYO,,JAPAN,JPN,K64,,,0
10270,198702102,1,B0714,BANK OF YOKOHAMA,,JAPAN,JPN,K64,,,0
10271,198702103,1,B1687,DAI-ICHI KANGYO BANK,,JAPAN,JPN,K64,,,0
